Hardness,pressure,bias,flow,Cu,Al,Fe,Zr,V,Co,Ni,Nb,Ti,Cr,Mo,Mn,W,Ta,Hf
8.6,0.9,-100,30,13.83,15.31,13.96,15.19,14.57,13.95,13.2,0,0,0,0,0,0,0,0
5.47775,0.4,0,30,0,9.8,17.4,0,0,18.7,36,0,0,18.1,0,0,0,0,0
4.43737,0.67,0,30,0,9.8,17.4,0,0,18.7,36,0,0,18.1,0,0,0,0,0
3.75225,0.93,0,30,0,9.8,17.4,0,0,18.7,36,0,0,18.1,0,0,0,0,0
2.80275,1.33,0,30,0,9.8,17.4,0,0,18.7,36,0,0,18.1,0,0,0,0,0
5.48859,0.4,0,30,0,9.8,17.4,0,0,18.7,36,0,0,18.1,0,0,0,0,0
5.80499,0.4,-50,30,0,9.8,17.4,0,0,18.7,36,0,0,18.1,0,0,0,0,0
5.94249,0.4,-100,30,0,9.8,17.4,0,0,18.7,36,0,0,18.1,0,0,0,0,0
7.37009,0.4,-150,30,0,9.8,17.4,0,0,18.7,36,0,0,18.1,0,0,0,0,0
7.4,0.17,-20,50,0,0,25.2,0,0,17.7,20.1,0,0,19.5,0,17.5,0,0,0
7.9,0.17,-60,50,0,0,24.2,0,0,20.7,22.7,0,0,20.9,0,11.6,0,0,0
9.1,0.17,-120,50,0,0,25.7,0,0,25.9,24.1,0,0,19,0,5.3,0,0,0
7.9,0.4,-100,30,0,0,21,0,0,21,22,0,0,18,0,18,0,0,0
6.61911,0.4,0,20,0,0,20.11,0,0,19.86,19.63,0,0,18.08,0,22.32,0,0,0
7.9,0.19,-70,14,0,0,23.6027,0,0,26.734,22.7104,0,0,26.0438,0,0,0,0,0
8,0.19,-80,14,0,0,23.67,0,0,26.4141,22.6768,0,0,26.532,0,0,0,0,0
8.5,0.19,-90,14,0,0,23.5522,0,0,26.0774,23.4007,0,0,26.2963,0,0,0,0,0
9.1,0.19,-105,14,0,0,23.6195,0,0,26.1953,22.7273,0,0,26.6835,0,0,0,0,0
8.5,0.19,-110,14,0,0,23.468,0,0,26.2963,22.7273,0,0,26.2458,0,0,0,0,0
9.1,0.19,-125,14,0,0,23.7037,0,0,26.229,22.7946,0,0,26.1785,0,0,0,0,0
9.3,0.19,-150,14,0,0,23.5859,0,0,26.2121,22.6599,0,0,26.1953,0,0,0,0,0
9,0.5,-100,30,0,0,20.1613,0,0,24.9707,31.6422,0,0,23.2258,0,0,0,0,0
11.4,0.67,-100,30,0,0,0,0,18.72,0,0,18.27,0,0,18.65,0,20.41,19.29,0
12.6,0.67,-100,30,0,0,0,0,16.83,0,0,18.58,0,0,18.57,0,19.61,18.09,0
12.6091,2,0,30,0,0,0,0,4.01,0,0,22.84,0,0,22.78,0,26.31,24.06,0
13.6385,2,0,30,0,0,0,0,8.46,0,0,21.95,0,0,22.39,0,24.13,23.07,0
11.6094,2,0,30,0,0,0,0,12.93,0,0,20.79,0,0,19.87,0,24.8,21.61,0
11.3031,2,0,30,0,0,0,0,16.87,0,0,19.78,0,0,19.29,0,23.64,20.42,0
11.2574,2,0,30,0,0,0,0,21.31,0,0,18.77,0,0,18.16,0,22.26,19.5,0
11.212,2,0,30,0,0,0,0,27.35,0,0,17.45,0,0,17.08,0,20.53,17.59,0
9.73021,2,0,30,0,0,0,0,30.51,0,0,16.79,0,0,16.38,0,19.36,16.97,0
7.67,0.45,-70,30,0,0,0,20.3,0,0,0,29.62,0,0,0,0,0,27.27,22.81
15.341,0.4,-100,25,0,0,0,25,0,0,0,25,0,0,0,0,0,25,25
12.2582,0.45,-50,30,0,0,0,20.83,0,0,0,24.66,0,0,0,0,0,35.84,18.67
8.30788,0.45,-50,30,0,0,0,23.78,0,0,0,29.21,0,0,0,0,0,36.07,11.03
17.88,0.73,0,20,0,4.1,0,0,7.6,0,0,5.8,6.7,7.4,0,0,68.5,0,0
